* T-Spice 6.02 Simulation	Fri Nov 12 18:59:00 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.out D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\inverter_schematic.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
v(Out) =   5.0000e+000
v(In) =   0.0000e+000
v(Vdd) =   5.0000e+000
i(Vsupply) =   2.9850e-011
i(Vpulse) =  -0.0000e+000

* END NON-GRAPHICAL DATA

* BEGIN NON-GRAPHICAL DATA

AC SMALL-SIGNAL MODELS
             M1           M2          
MODEL        nmos         pmos        
TYPE         NMOS         PMOS        
ID            7.06e-018    2.99e-011  
VGS           0.00e+000   -5.00e+000  
VDS           5.00e+000    7.20e-008  
VBS           0.00e+000    0.00e+000  
VTH           0.00e+000   -0.00e+000  
VDSAT         0.00e+000    0.00e+000  
RS            0.00e+000    0.00e+000  
RD            0.00e+000    0.00e+000  
GM            2.19e-015    5.97e-011  
GDS           3.37e-019    4.15e-004  
GMB          -1.03e-017    4.34e-011  
GBD           1.00e-014    2.99e-012  
GBS           1.00e-014    1.00e-014  
CGS          -8.16e-015    3.98e-014  
CGD           6.01e-015    3.24e-015  
CGB           4.24e-014    1.07e-014  
CBD           9.43e-015    3.43e-014  
CBS           3.32e-014    2.69e-014  

* END NON-GRAPHICAL DATA

*WEDIT: .tran   5e-005   0.0006
TRANSIENT ANALYSIS
Time<s>        v(In,GND)<V>  v(Out,GND)<V>
   0.0000e+000  0.0000e+000  5.0000e+000
   6.0000e-007  6.0000e-002  5.0000e+000
   3.3482e-006  3.3482e-001  5.0000e+000
   9.7478e-006  9.7479e-001  4.9857e+000
   1.3659e-005  1.3659e+000  4.8383e+000
   1.7173e-005  1.7173e+000  4.4592e+000
   1.8811e-005  1.8811e+000  4.0658e+000
   1.9681e-005  1.9681e+000  3.5147e+000
   1.9925e-005  1.9925e+000  2.9310e+000
   2.0143e-005  2.0144e+000  2.3636e+000
   2.0356e-005  2.0356e+000  1.8393e+000
   2.0647e-005  2.0648e+000  1.1761e+000
  2.07983e-005  2.0798e+000  8.6732e-001
  2.09379e-005  2.0938e+000  7.3647e-001
  2.10834e-005  2.1083e+000  6.6545e-001
  2.12251e-005  2.1225e+000  6.1373e-001
   2.1508e-005  2.1508e+000  5.4468e-001
   2.2401e-005  2.2401e+000  4.0714e-001
   2.3225e-005  2.3225e+000  3.2953e-001
   2.4591e-005  2.4592e+000  2.4124e-001
   2.6539e-005  2.6539e+000  1.5927e-001
   3.0102e-005  3.0102e+000  7.2316e-002
   3.5163e-005  3.5163e+000  1.5590e-002
   4.0517e-005  4.0517e+000  1.3275e-004
   4.9999e-005  5.0000e+000  1.2974e-006
   5.3087e-005  5.0000e+000  3.2127e-011
   5.6422e-005  5.0000e+000  2.4365e-011
   1.0642e-004  5.0000e+000 -9.2014e-011
   1.4999e-004  5.0000e+000 -1.9345e-010
  1.51019e-004  4.8981e+000 -1.5654e-006
   1.5384e-004  4.6159e+000 -1.6623e-006
   1.6559e-004  3.4404e+000  2.0849e-002
   1.7446e-004  2.5536e+000  1.9708e-001
   1.7823e-004  2.1766e+000  4.9597e-001
  1.79044e-004  2.0956e+000  7.2487e-001
  1.79269e-004  2.0730e+000  9.9241e-001
  1.79482e-004  2.0517e+000  1.4583e+000
  1.79676e-004  2.0324e+000  1.9104e+000
  1.79857e-004  2.0142e+000  2.3595e+000
 1.800295e-004  1.9970e+000  2.8032e+000
  1.80228e-004  1.9771e+000  3.3320e+000
  1.80445e-004  1.9554e+000  3.6602e+000
 1.805752e-004  1.9425e+000  3.7662e+000
 1.806938e-004  1.9306e+000  3.8419e+000
  1.80937e-004  1.9062e+000  3.9675e+000
  1.81255e-004  1.8745e+000  4.0872e+000
  1.81637e-004  1.8363e+000  4.1997e+000
  1.81997e-004  1.8002e+000  4.2896e+000
  1.82733e-004  1.7267e+000  4.4418e+000
  1.83702e-004  1.6297e+000  4.5898e+000
  1.84743e-004  1.5257e+000  4.7079e+000
  1.85951e-004  1.4048e+000  4.8108e+000
  1.87508e-004  1.2491e+000  4.9042e+000
   1.8964e-004  1.0353e+000  4.9750e+000
   1.9281e-004  7.1825e-001  4.9998e+000
   1.9597e-004  4.0256e-001  5.0000e+000
   1.9999e-004  0.0000e+000  5.0000e+000
  2.01246e-004  1.2468e-001  5.0000e+000
  2.02607e-004  2.6073e-001  5.0000e+000
   2.1390e-004  1.3907e+000  4.8215e+000
   2.1685e-004  1.6857e+000  4.5090e+000
  2.18959e-004  1.8959e+000  4.0115e+000
  2.19591e-004  1.9592e+000  3.6238e+000
 2.197986e-004  1.9799e+000  3.2667e+000
 2.199957e-004  1.9996e+000  2.7451e+000
  2.20347e-004  2.0347e+000  1.8591e+000
 2.204488e-004  2.0449e+000  1.6213e+000
 2.205449e-004  2.0545e+000  1.4030e+000
 2.206942e-004  2.0694e+000  1.0740e+000
 2.208837e-004  2.0884e+000  7.7255e-001
 2.210952e-004  2.1095e+000  6.6088e-001
 2.212835e-004  2.1284e+000  5.9835e-001
 2.214639e-004  2.1464e+000  5.5483e-001
 2.216431e-004  2.1643e+000  5.1664e-001
  2.22405e-004  2.2405e+000  4.0666e-001
  2.24005e-004  2.4006e+000  2.7399e-001
  2.25451e-004  2.5452e+000  2.0078e-001
  2.27687e-004  2.7687e+000  1.2464e-001
   2.3135e-004  3.1359e+000  5.2840e-002
   2.3705e-004  3.7054e+000  6.1228e-003
   2.4528e-004  4.5282e+000  1.5447e-006
   2.5000e-004  5.0000e+000  1.4807e-006
   2.5270e-004  5.0000e+000  3.5874e-011
   2.5562e-004  5.0000e+000  2.3164e-011
   3.0562e-004  5.0000e+000 -1.9432e-010
   3.4999e-004  5.0000e+000 -3.8733e-010
  3.51019e-004  4.8980e+000 -1.5654e-006
  3.53841e-004  4.6158e+000 -1.6623e-006
   3.6559e-004  3.4404e+000  2.0851e-002
   3.7446e-004  2.5535e+000  1.9709e-001
  3.78233e-004  2.1766e+000  4.9599e-001
  3.79044e-004  2.0956e+000  7.2492e-001
 3.792698e-004  2.0730e+000  9.9252e-001
 3.794827e-004  2.0517e+000  1.4583e+000
 3.796761e-004  2.0324e+000  1.9106e+000
 3.798578e-004  2.0142e+000  2.3598e+000
 3.800297e-004  1.9970e+000  2.8036e+000
 3.802286e-004  1.9771e+000  3.3313e+000
 3.803965e-004  1.9603e+000  3.6112e+000
 3.805565e-004  1.9443e+000  3.7520e+000
 3.806986e-004  1.9301e+000  3.8449e+000
 3.809031e-004  1.9097e+000  3.9525e+000
 3.811564e-004  1.8844e+000  4.0549e+000
 3.815163e-004  1.8484e+000  4.1660e+000
  3.81906e-004  1.8094e+000  4.2675e+000
  3.82595e-004  1.7404e+000  4.4158e+000
  3.83347e-004  1.6653e+000  4.5397e+000
  3.84065e-004  1.5935e+000  4.6343e+000
  3.85075e-004  1.4924e+000  4.7397e+000
  3.86975e-004  1.3024e+000  4.8762e+000
  3.89754e-004  1.0246e+000  4.9771e+000
  3.92386e-004  7.6136e-001  4.9995e+000
  3.95993e-004  4.0067e-001  5.0000e+000
  3.99500e-004  4.9925e-002  5.0000e+000
  3.99999e-004  0.0000e+000  5.0000e+000
  4.01108e-004  1.1088e-001  5.0000e+000
  4.02444e-004  2.4448e-001  5.0000e+000
   4.1052e-004  1.0528e+000  4.9713e+000
  4.14205e-004  1.4205e+000  4.7989e+000
  4.17486e-004  1.7487e+000  4.4001e+000
  4.19158e-004  1.9158e+000  3.9220e+000
  4.19656e-004  1.9656e+000  3.5477e+000
 4.198407e-004  1.9841e+000  3.1548e+000
 4.200133e-004  2.0013e+000  2.6992e+000
 4.202031e-004  2.0203e+000  2.2137e+000
 4.203992e-004  2.0399e+000  1.7372e+000
 4.205890e-004  2.0589e+000  1.3061e+000
 4.207895e-004  2.0790e+000  8.8111e-001
 4.209794e-004  2.0979e+000  7.1013e-001
 4.211292e-004  2.1129e+000  6.4826e-001
 4.212642e-004  2.1264e+000  6.0311e-001
 4.215388e-004  2.1539e+000  5.3770e-001
  4.22578e-004  2.2579e+000  3.8793e-001
  4.23549e-004  2.3550e+000  3.0549e-001
  4.24908e-004  2.4908e+000  2.2578e-001
  4.27185e-004  2.7185e+000  1.3917e-001
  4.30468e-004  3.0469e+000  6.6294e-002
   4.3486e-004  3.4863e+000  1.7589e-002
   4.4053e-004  4.0537e+000  1.2732e-004
   4.5000e-004  5.0000e+000  1.2968e-006
  4.53089e-004  5.0000e+000  3.2115e-011
  4.56425e-004  5.0000e+000  2.4369e-011
   5.0642e-004  5.0000e+000 -9.1724e-011
   5.4999e-004  5.0000e+000 -1.9290e-010
  5.51019e-004  4.8981e+000 -1.5654e-006
  5.53841e-004  4.6159e+000 -1.6623e-006
   5.6559e-004  3.4404e+000  2.0849e-002
   5.7446e-004  2.5536e+000  1.9708e-001
  5.78233e-004  2.1766e+000  4.9597e-001
  5.79044e-004  2.0956e+000  7.2487e-001
 5.792698e-004  2.0730e+000  9.9241e-001
 5.794827e-004  2.0517e+000  1.4583e+000
 5.796760e-004  2.0324e+000  1.9104e+000
