* T-Spice 6.02 Simulation	Fri Nov 12 20:15:19 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.out D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\inverter_schematic.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 1                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
v(Out) =   5.0000e+000
v(In) =   0.0000e+000
v(Vdd) =   5.0000e+000
i(Vsupply) =  -5.0007e-014
i(Vpulse) =  -0.0000e+000

* END NON-GRAPHICAL DATA

* BEGIN NON-GRAPHICAL DATA

AC SMALL-SIGNAL MODELS
             M2           M3          
MODEL        nmos         pmos        
TYPE         NMOS         PMOS        
ID            7.06e-018   -5.00e-014  
VGS           0.00e+000   -5.00e+000  
VDS           5.00e+000   -1.21e-010  
VBS           0.00e+000    0.00e+000  
VTH           0.00e+000   -0.00e+000  
VDSAT         0.00e+000    0.00e+000  
RS            0.00e+000    0.00e+000  
RD            0.00e+000    0.00e+000  
GM            2.19e-015   -1.00e-013  
GDS           3.37e-019    4.15e-004  
GMB          -1.03e-017    3.59e-015  
GBD           1.00e-014    1.00e-014  
GBS           1.00e-014    1.00e-014  
CGS          -8.16e-015    1.70e-014  
CGD           6.01e-015    3.98e-014  
CGB           4.24e-014   -3.06e-015  
CBD           9.43e-015    2.69e-014  
CBS           3.32e-014    2.66e-014  

* END NON-GRAPHICAL DATA

*WEDIT: .tran   1e-009   7e-008
TRANSIENT ANALYSIS
Time<s>        v(In,GND)<V>  v(Out,GND)<V>
   0.0000e+000  0.0000e+000  5.0000e+000
   7.0000e-011  3.5000e-001  5.0108e+000
   1.4456e-010  7.2281e-001  5.0223e+000
   2.7881e-010  1.3941e+000  5.0400e+000
   4.3099e-010  2.1550e+000  5.0359e+000
   5.6539e-010  2.8270e+000  4.9876e+000
   6.9247e-010  3.4624e+000  4.8870e+000
   8.1598e-010  4.0799e+000  4.7214e+000
   9.9143e-010  4.9572e+000  4.3583e+000
  1.00000e-009  5.0000e+000  4.3367e+000
   1.1451e-009  5.0000e+000  3.9600e+000
   1.3756e-009  5.0000e+000  3.3706e+000
   1.5743e-009  5.0000e+000  2.8743e+000
   1.8559e-009  5.0000e+000  2.1994e+000
   2.0815e-009  5.0000e+000  1.7013e+000
   2.2927e-009  5.0000e+000  1.2896e+000
   2.4806e-009  5.0000e+000  9.7964e-001
   2.6610e-009  5.0000e+000  7.3657e-001
   2.8501e-009  5.0000e+000  5.3613e-001
   3.1518e-009  5.0000e+000  3.1385e-001
   3.4248e-009  5.0000e+000  1.8963e-001
   3.6634e-009  5.0000e+000  1.2083e-001
   3.8947e-009  5.0000e+000  7.7258e-002
   4.1715e-009  5.0000e+000  4.4724e-002
   4.5337e-009  5.0000e+000  2.0177e-002
   4.8915e-009  5.0000e+000  8.2569e-003
   5.2270e-009  5.0000e+000  3.1970e-003
   5.6177e-009  5.0000e+000  7.5770e-004
   6.1272e-009  5.0000e+000 -2.3926e-004
   6.8480e-009  5.0000e+000 -9.9143e-005
   7.8480e-009  5.0000e+000 -3.3479e-005
   8.8480e-009  5.0000e+000 -1.1305e-005
   9.0000e-009  5.0000e+000 -8.7100e-006
 9.008421e-009  4.9579e+000 -1.2545e-003
   9.1363e-009  4.3182e+000 -1.8325e-002
   9.3832e-009  3.0839e+000 -4.4398e-002
   9.5865e-009  2.0670e+000 -4.1786e-002
   9.7705e-009  1.1472e+000 -6.6078e-004
   9.9849e-009  7.5167e-002  1.2829e-001
  1.00000e-008  0.0000e+000  1.4115e-001
  1.00137e-008  6.8608e-002  1.5571e-001
  1.01005e-008  5.0255e-001  2.3998e-001
  1.01825e-008  9.1289e-001  3.0754e-001
   1.0405e-008  2.0250e+000  4.2819e-001
   1.0531e-008  2.6565e+000  4.4702e-001
  1.05728e-008  2.8644e+000  4.4340e-001
  1.06230e-008  3.1154e+000  4.3554e-001
  1.06710e-008  3.3553e+000  4.2528e-001
  1.07290e-008  3.6452e+000  4.0961e-001
   1.0843e-008  4.2154e+000  3.6946e-001
   1.0952e-008  4.7632e+000  3.2414e-001
  1.10000e-008  5.0000e+000  3.0450e-001
  1.10934e-008  5.0000e+000  2.5919e-001
  1.12048e-008  5.0000e+000  2.1133e-001
   1.1322e-008  5.0000e+000  1.6884e-001
   1.1558e-008  5.0000e+000  1.0699e-001
   1.1799e-008  5.0000e+000  6.7932e-002
   1.2038e-008  5.0000e+000  4.3569e-002
   1.2255e-008  5.0000e+000  2.8722e-002
   1.2510e-008  5.0000e+000  1.7177e-002
   1.2961e-008  5.0000e+000  6.4303e-003
   1.3358e-008  5.0000e+000  2.5957e-003
   1.3796e-008  5.0000e+000  9.5478e-004
   1.4372e-008  5.0000e+000  1.3987e-004
   1.5164e-008  5.0000e+000  5.4795e-005
   1.6164e-008  5.0000e+000  1.8519e-005
   1.7164e-008  5.0000e+000  6.2580e-006
   1.8164e-008  5.0000e+000  2.1146e-006
   1.9000e-008  5.0000e+000  8.0213e-007
 1.900842e-008  4.9579e+000 -1.2451e-003
  1.91363e-008  4.3181e+000 -1.8320e-002
   1.9383e-008  3.0831e+000 -4.4400e-002
   1.9586e-008  2.0663e+000 -4.1760e-002
  1.97707e-008  1.1464e+000 -5.9724e-004
   1.9985e-008  7.3807e-002  1.2852e-001
 2.000000e-008  0.0000e+000  1.4115e-001
 2.001342e-008  6.7135e-002  1.5540e-001
  2.01000e-008  5.0041e-001  2.3961e-001
  2.01821e-008  9.1094e-001  3.0726e-001
   2.0407e-008  2.0353e+000  4.2883e-001
  2.05333e-008  2.6669e+000  4.4711e-001
  2.05753e-008  2.8766e+000  4.4326e-001
  2.06261e-008  3.1305e+000  4.3506e-001
  2.06743e-008  3.3720e+000  4.2452e-001
  2.07325e-008  3.6626e+000  4.0859e-001
  2.08468e-008  4.2341e+000  3.6799e-001
  2.09568e-008  4.7841e+000  3.2245e-001
  2.10000e-008  5.0000e+000  3.0456e-001
  2.10908e-008  5.0000e+000  2.6032e-001
  2.12051e-008  5.0000e+000  2.1113e-001
  2.13231e-008  5.0000e+000  1.6855e-001
   2.1567e-008  5.0000e+000  1.0522e-001
   2.1813e-008  5.0000e+000  6.6220e-002
   2.2052e-008  5.0000e+000  4.2475e-002
  2.22706e-008  5.0000e+000  2.7937e-002
   2.2528e-008  5.0000e+000  1.6596e-002
   2.2965e-008  5.0000e+000  6.4212e-003
   2.3358e-008  5.0000e+000  2.2851e-003
   2.3953e-008  5.0000e+000 -3.9353e-005
   2.4640e-008  5.0000e+000 -5.2038e-004
   2.5573e-008  5.0000e+000 -1.8397e-004
   2.6573e-008  5.0000e+000 -6.2124e-005
   2.7573e-008  5.0000e+000 -2.0978e-005
   2.8573e-008  5.0000e+000 -7.0838e-006
   2.9000e-008  5.0000e+000 -3.8585e-006
 2.900842e-008  4.9579e+000 -1.2497e-003
  2.91363e-008  4.3182e+000 -1.8321e-002
  2.93832e-008  3.0840e+000 -4.4394e-002
  2.95865e-008  2.0671e+000 -4.1785e-002
  2.97705e-008  1.1472e+000 -6.6305e-004
  2.99849e-008  7.5274e-002  1.2827e-001
 3.000000e-008  0.0000e+000  1.4115e-001
 3.001374e-008  6.8724e-002  1.5574e-001
  3.01005e-008  5.0272e-001  2.4001e-001
  3.01826e-008  9.1305e-001  3.0757e-001
  3.04048e-008  2.0242e+000  4.2814e-001
  3.05311e-008  2.6557e+000  4.4702e-001
  3.05726e-008  2.8635e+000  4.4341e-001
  3.06228e-008  3.1142e+000  4.3557e-001
  3.06708e-008  3.3540e+000  4.2534e-001
  3.07287e-008  3.6439e+000  4.0969e-001
  3.08428e-008  4.2141e+000  3.6956e-001
  3.09523e-008  4.7618e+000  3.2426e-001
  3.10000e-008  5.0000e+000  3.0450e-001
  3.10935e-008  5.0000e+000  2.5913e-001
  3.12048e-008  5.0000e+000  2.1134e-001
  3.13224e-008  5.0000e+000  1.6885e-001
  3.15581e-008  5.0000e+000  1.0709e-001
  3.17989e-008  5.0000e+000  6.8028e-002
  3.20377e-008  5.0000e+000  4.3631e-002
  3.22549e-008  5.0000e+000  2.8767e-002
  3.25098e-008  5.0000e+000  1.7210e-002
   3.2961e-008  5.0000e+000  6.4292e-003
   3.3358e-008  5.0000e+000  2.5914e-003
   3.3796e-008  5.0000e+000  9.5214e-004
   3.4371e-008  5.0000e+000  1.4064e-004
   3.5161e-008  5.0000e+000  5.5172e-005
   3.6161e-008  5.0000e+000  1.8646e-005
   3.7161e-008  5.0000e+000  6.3011e-006
   3.8161e-008  5.0000e+000  2.1292e-006
   3.9000e-008  5.0000e+000  8.0572e-007
 3.900842e-008  4.9579e+000 -1.2451e-003
  3.91363e-008  4.3181e+000 -1.8320e-002
  3.93833e-008  3.0831e+000 -4.4400e-002
  3.95867e-008  2.0663e+000 -4.1760e-002
  3.97707e-008  1.1464e+000 -5.9724e-004
  3.99852e-008  7.3807e-002  1.2852e-001
 4.000000e-008  0.0000e+000  1.4115e-001
 4.001342e-008  6.7135e-002  1.5540e-001
  4.01000e-008  5.0041e-001  2.3961e-001
  4.01821e-008  9.1094e-001  3.0726e-001
  4.04070e-008  2.0353e+000  4.2883e-001
