* T-Spice 6.02 Simulation	Sun Dec 26 12:22:34 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Module0.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Module0_0.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Module0.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\inverter_schematic.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 1                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
v(Out) =   5.0000e+000
v(In) =   0.0000e+000
v(Vdd) =   5.0000e+000
i(Vsupply) =  -5.0007e-014
i(Vpulse) =  -0.0000e+000

* END NON-GRAPHICAL DATA

* BEGIN NON-GRAPHICAL DATA

AC SMALL-SIGNAL MODELS
             M2           M3          
MODEL        nmos         pmos        
TYPE         NMOS         PMOS        
ID            7.06e-018   -5.00e-014  
VGS           0.00e+000   -5.00e+000  
VDS           5.00e+000   -1.21e-010  
VBS           0.00e+000    0.00e+000  
VTH           0.00e+000   -0.00e+000  
VDSAT         0.00e+000    0.00e+000  
RS            0.00e+000    0.00e+000  
RD            0.00e+000    0.00e+000  
GM            2.19e-015   -1.00e-013  
GDS           3.37e-019    4.15e-004  
GMB          -1.03e-017    3.59e-015  
GBD           1.00e-014    1.00e-014  
GBS           1.00e-014    1.00e-014  
CGS          -8.16e-015    1.70e-014  
CGD           6.01e-015    3.98e-014  
CGB           4.24e-014   -3.06e-015  
CBD           9.43e-015    2.69e-014  
CBS           3.32e-014    2.66e-014  

* END NON-GRAPHICAL DATA

*WEDIT: .tran   1e-009   6e-007
TRANSIENT ANALYSIS
Time<s>        v(In,GND)<V>  v(Out,GND)<V>
   0.0000e+000  0.0000e+000  5.0000e+000
   9.4871e-012  4.7436e-002  5.0015e+000
   8.7618e-011  4.3809e-001  5.0138e+000
   2.3859e-010  1.1930e+000  5.0358e+000
   3.5178e-010  1.7589e+000  5.0434e+000
   4.6255e-010  2.3128e+000  5.0295e+000
   5.8025e-010  2.9013e+000  4.9787e+000
   6.9760e-010  3.4880e+000  4.8808e+000
   8.3403e-010  4.1702e+000  4.6896e+000
   1.0000e-009  5.0000e+000  4.3359e+000
   1.0715e-009  5.0000e+000  4.1489e+000
   1.2974e-009  5.0000e+000  3.5657e+000
   1.5088e-009  5.0000e+000  3.0327e+000
   1.8364e-009  5.0000e+000  2.2416e+000
   2.0684e-009  5.0000e+000  1.7267e+000
   2.2721e-009  5.0000e+000  1.3251e+000
   2.4889e-009  5.0000e+000  9.6565e-001
   2.6822e-009  5.0000e+000  7.0969e-001
   2.8705e-009  5.0000e+000  5.1607e-001
   3.1342e-009  5.0000e+000  3.2292e-001
   3.3984e-009  5.0000e+000  1.9833e-001
   3.6346e-009  5.0000e+000  1.2689e-001
   3.8711e-009  5.0000e+000  8.0311e-002
   4.1605e-009  5.0000e+000  4.5326e-002
   4.5889e-009  5.0000e+000  1.8912e-002
   4.9994e-009  5.0000e+000  7.7066e-003
   5.4043e-009  5.0000e+000  2.8003e-003
   5.8125e-009  5.0000e+000  7.4876e-004
   6.4809e-009  5.0000e+000 -2.9778e-004
   7.3571e-009  5.0000e+000 -1.0956e-004
   8.3571e-009  5.0000e+000 -3.6997e-005
   9.3571e-009  5.0000e+000 -1.2493e-005
   1.0357e-008  5.0000e+000 -4.2186e-006
   1.1357e-008  5.0000e+000 -1.4245e-006
   1.2357e-008  5.0000e+000 -4.8103e-007
   1.3357e-008  5.0000e+000 -1.6242e-007
   1.4357e-008  5.0000e+000 -5.4833e-008
   1.5357e-008  5.0000e+000  5.2754e-008
   1.6357e-008  5.0000e+000  1.6034e-007
   1.7357e-008  5.0000e+000  5.4183e-008
   1.8357e-008  5.0000e+000 -5.1975e-008
   1.9357e-008  5.0000e+000 -1.5813e-007
   2.0357e-008  5.0000e+000 -5.3388e-008
   2.1357e-008  5.0000e+000  5.1356e-008
   2.2357e-008  5.0000e+000  1.5610e-007
   2.3357e-008  5.0000e+000  5.2751e-008
   2.4357e-008  5.0000e+000 -5.0600e-008
   2.5357e-008  5.0000e+000 -1.5395e-007
   2.6357e-008  5.0000e+000 -5.1975e-008
   2.7357e-008  5.0000e+000  4.9999e-008
   2.8357e-008  5.0000e+000  1.5197e-007
   2.9357e-008  5.0000e+000  5.1356e-008
   3.0357e-008  5.0000e+000 -4.9261e-008
   3.1357e-008  5.0000e+000 -1.4988e-007
   3.2357e-008  5.0000e+000 -5.0600e-008
   3.3357e-008  5.0000e+000  4.8678e-008
   3.4357e-008  5.0000e+000  1.4796e-007
   3.5357e-008  5.0000e+000  4.9999e-008
   3.6357e-008  5.0000e+000 -4.7958e-008
   3.7357e-008  5.0000e+000 -1.4591e-007
   3.8357e-008  5.0000e+000 -4.9262e-008
   3.9357e-008  5.0000e+000  4.7391e-008
   4.0357e-008  5.0000e+000  1.4404e-007
   4.1357e-008  5.0000e+000  4.8677e-008
   4.2357e-008  5.0000e+000 -4.6690e-008
   4.3357e-008  5.0000e+000 -1.4206e-007
   4.4357e-008  5.0000e+000 -4.7959e-008
   4.5357e-008  5.0000e+000  4.6139e-008
   4.6357e-008  5.0000e+000  1.4024e-007
   4.7357e-008  5.0000e+000  4.7391e-008
   4.8357e-008  5.0000e+000 -4.5455e-008
   4.9357e-008  5.0000e+000 -1.3830e-007
   5.0357e-008  5.0000e+000 -4.6690e-008
   5.1357e-008  5.0000e+000  4.4920e-008
   5.2357e-008  5.0000e+000  1.3653e-007
   5.3357e-008  5.0000e+000  4.6139e-008
   5.4357e-008  5.0000e+000 -4.4253e-008
   5.5357e-008  5.0000e+000 -1.3464e-007
   5.6357e-008  5.0000e+000 -4.5455e-008
   5.7357e-008  5.0000e+000  4.3734e-008
   5.8357e-008  5.0000e+000  1.3292e-007
   5.9357e-008  5.0000e+000  4.4920e-008
   6.0357e-008  5.0000e+000 -4.3083e-008
   6.1357e-008  5.0000e+000 -1.3109e-007
   6.2357e-008  5.0000e+000 -4.4253e-008
   6.3357e-008  5.0000e+000  4.2579e-008
   6.4357e-008  5.0000e+000  1.2941e-007
   6.5357e-008  5.0000e+000  4.3734e-008
   6.6357e-008  5.0000e+000 -4.1944e-008
   6.7357e-008  5.0000e+000 -1.2762e-007
   6.8357e-008  5.0000e+000 -4.3083e-008
   6.9357e-008  5.0000e+000  4.1455e-008
   7.0357e-008  5.0000e+000  1.2599e-007
   7.1357e-008  5.0000e+000  4.2579e-008
   7.2357e-008  5.0000e+000 -4.0835e-008
   7.3357e-008  5.0000e+000 -1.2425e-007
   7.4357e-008  5.0000e+000 -4.1944e-008
   7.5357e-008  5.0000e+000  4.0360e-008
   7.6357e-008  5.0000e+000  1.2266e-007
   7.7357e-008  5.0000e+000  4.1454e-008
   7.8357e-008  5.0000e+000 -3.9756e-008
   7.9357e-008  5.0000e+000 -1.2097e-007
   8.0357e-008  5.0000e+000 -4.0836e-008
   8.1357e-008  5.0000e+000  3.9295e-008
   8.2357e-008  5.0000e+000  1.1942e-007
   8.3357e-008  5.0000e+000  4.0360e-008
   8.4357e-008  5.0000e+000 -3.8705e-008
   8.5357e-008  5.0000e+000 -1.1777e-007
   8.6357e-008  5.0000e+000 -1.9684e-007
   8.7357e-008  5.0000e+000 -6.6459e-008
   8.8357e-008  5.0000e+000  6.3917e-008
   8.9357e-008  5.0000e+000  2.1607e-008
   9.0357e-008  5.0000e+000 -2.0703e-008
   9.1357e-008  5.0000e+000 -6.3013e-008
   9.2357e-008  5.0000e+000 -1.0532e-007
   9.3357e-008  5.0000e+000 -1.4763e-007
   9.4357e-008  5.0000e+000 -1.8994e-007
   9.5357e-008  5.0000e+000 -6.4131e-008
   9.6357e-008  5.0000e+000  6.1679e-008
   9.7357e-008  5.0000e+000  2.0851e-008
   9.8357e-008  5.0000e+000 -1.9977e-008
   9.9357e-008  5.0000e+000 -6.0806e-008
  1.00357e-007  5.0000e+000 -1.0163e-007
  1.01000e-007  5.0000e+000 -1.2788e-007
 1.0100842e-007  4.9579e+000 -1.2460e-003
  1.01136e-007  4.3182e+000 -1.8318e-002
  1.01383e-007  3.0841e+000 -4.4392e-002
  1.01586e-007  2.0671e+000 -4.1785e-002
  1.01770e-007  1.1473e+000 -6.6479e-004
  1.01984e-007  7.5356e-002  1.2826e-001
 1.020000e-007  0.0000e+000  1.4115e-001
  1.02290e-007  0.0000e+000  4.2084e-001
  1.02914e-007  0.0000e+000  1.0141e+000
  1.03484e-007  0.0000e+000  1.5465e+000
  1.04478e-007  0.0000e+000  2.4342e+000
  1.05146e-007  0.0000e+000  2.9786e+000
  1.05760e-007  0.0000e+000  3.4196e+000
  1.06259e-007  0.0000e+000  3.7271e+000
  1.06746e-007  0.0000e+000  3.9819e+000
  1.07297e-007  0.0000e+000  4.2180e+000
  1.08039e-007  0.0000e+000  4.4605e+000
  1.08563e-007  0.0000e+000  4.5850e+000
  1.09090e-007  0.0000e+000  4.6726e+000
  1.09401e-007  0.0000e+000  4.7170e+000
  1.09678e-007  0.0000e+000  4.7534e+000
  1.09973e-007  0.0000e+000  4.7867e+000
  1.10294e-007  0.0000e+000  4.8153e+000
  1.10618e-007  0.0000e+000  4.8376e+000
  1.10993e-007  0.0000e+000  4.8587e+000
  1.11422e-007  0.0000e+000  4.8799e+000
  1.11848e-007  0.0000e+000  4.8985e+000
