* T-Spice 6.02 Simulation	Thu Dec 30 17:14:08 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\inverter_sch.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
v(Out) =   5.0000e+000
v(Vdd) =   5.0000e+000
v(In) =   0.0000e+000
i(VPULSE) =  -0.0000e+000
i(VSupply) =   2.9850e-011

* END NON-GRAPHICAL DATA

* BEGIN NON-GRAPHICAL DATA

AC SMALL-SIGNAL MODELS
             M1           M2          
MODEL        nmos         pmos        
TYPE         NMOS         PMOS        
ID            7.06e-018    2.99e-011  
VGS           0.00e+000   -5.00e+000  
VDS           5.00e+000    7.20e-008  
VBS           0.00e+000    0.00e+000  
VTH           0.00e+000   -0.00e+000  
VDSAT         0.00e+000    0.00e+000  
RS            0.00e+000    0.00e+000  
RD            0.00e+000    0.00e+000  
GM            2.19e-015    5.97e-011  
GDS           3.37e-019    4.15e-004  
GMB          -1.03e-017    4.34e-011  
GBD           1.00e-014    2.99e-012  
GBS           1.00e-014    1.00e-014  
CGS          -8.16e-015    3.98e-014  
CGD           6.01e-015    3.24e-015  
CGB           4.24e-014    1.07e-014  
CBD           9.43e-015    3.43e-014  
CBS           3.32e-014    2.69e-014  

* END NON-GRAPHICAL DATA

*WEDIT: .tran   1e-005   0.0006
TRANSIENT ANALYSIS
Time<s>        v(In,GND)<V>  v(Out,GND)<V>
   0.0000e+000  0.0000e+000  5.0000e+000
   4.9725e-007  2.4863e-001  5.0000e+000
   1.0372e-006  5.1862e-001  5.0000e+000
   2.2169e-006  1.1085e+000  4.9569e+000
   2.8392e-006  1.4196e+000  4.7997e+000
