* T-Spice 6.02 Simulation	Thu Dec 30 18:31:11 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\inverter_sch.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
v(Out) =   5.0000e+000
v(Vdd) =   5.0000e+000
v(In) =   0.0000e+000
i(VPulse) =  -0.0000e+000
i(VSupply) =   2.9871e-011

* END NON-GRAPHICAL DATA

* BEGIN NON-GRAPHICAL DATA

AC SMALL-SIGNAL MODELS
             M1           M2          
MODEL        nmos         pmos        
TYPE         NMOS         PMOS        
ID            3.43e-018    2.99e-011  
VGS           0.00e+000   -5.00e+000  
VDS           5.00e+000    4.59e-008  
VBS           0.00e+000    0.00e+000  
VTH           0.00e+000   -0.00e+000  
VDSAT         0.00e+000    0.00e+000  
RS            0.00e+000    0.00e+000  
RD            0.00e+000    0.00e+000  
GM            1.07e-015    5.97e-011  
GDS           1.64e-019    6.51e-004  
GMB          -5.00e-018    4.34e-011  
GBD           1.00e-014    2.99e-012  
GBS           1.00e-014    1.00e-014  
CGS          -3.97e-015    6.24e-014  
CGD           2.92e-015    5.09e-015  
CGB           2.09e-014    1.66e-014  
CBD           9.26e-015    4.18e-014  
CBS           2.58e-014    3.07e-014  

* END NON-GRAPHICAL DATA

*WEDIT: .tran   1e-005   0.0006
TRANSIENT ANALYSIS
Time<s>        v(In,GND)<V>  v(Out,GND)<V>
   0.0000e+000  0.0000e+000  5.0000e+000
   3.6450e-007  1.8225e-001  5.0000e+000
   7.6546e-007  3.8273e-001  5.0000e+000
   2.4009e-006  1.2005e+000  4.9768e+000
   3.1528e-006  1.5764e+000  4.8995e+000
